Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Hire of Agency Staff,Shareholder Executive - British Business Bank,BROOK STREET (UK) LTD,52385,172.62,ShEx Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Hire of Agency Staff,Shareholder Executive - British Business Bank,BROOK STREET (UK) LTD,52385,840.61,ShEx Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Hire of Agency Staff,Shareholder Executive - British Business Bank,BROOK STREET (UK) LTD,52386,99.09,ShEx Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Hire of Agency Staff,Shareholder Executive - British Business Bank,BROOK STREET (UK) LTD,52386,482.56,ShEx Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Hire of Agency Staff,Shareholder Executive - British Business Bank,BROOK STREET (UK) LTD,52387,157.70,ShEx Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Hire of Agency Staff,Shareholder Executive - British Business Bank,BROOK STREET (UK) LTD,52387,767.97,ShEx Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Leasing of Motor Vehicles,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,GOVERNMENT CAR SERVICE,52389,235.50,MPST Devolved Admin-Leasing of Motor Vehicles,SW8 5AX,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Postage,Legal Services - Legal Services,PITNEY BOWES PURCHASE POWER A TRADING DIVISION OF PITNEY BOWES LTD,52390,105.50,Legal Services Admin-Postage,CM20 2GZ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Leasing of Reprographic Equipment,Finance & Commercial Group - Information and Technology Directorate,XEROX (UK) LTD,52391,272.73,F&C Devolved Admin-Leasing of Reprographic Equipment,BN13 1QG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Telecoms Equipment,Business & Local Growth - Advanced Manufacturing Services,TELEFONICA O2 UK LTD,52392,14.29,E&S Devolved Admin-Telecoms Equipment,MK77 1UB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Other IT Consultancy,Finance & Commercial Group - Information and Technology Directorate,FIVIUM LTD,52393,23281.00,F&C Devolved Admin-Other IT Consultancy,WC2E 9EZ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,External Legal Advice and Service,Legal Services - Legal Services,THE TREASURY SOLICITORS DEPARTMENT,52395,1629.78,Legal Services Admin-External Legal Advice and Service,WC2B 4TS,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,External Legal Advice and Service,Legal Services - Legal Services,THE TREASURY SOLICITORS DEPARTMENT,52395,9480.00,Legal Services Admin-External Legal Advice and Service,WC2B 4TS,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Utilisation of Provisions - Purchase of Goods & Services - Other,Business & Local Growth - Advanced Manufacturing Services,ROBERTS JACKSON LTD,52396,1329.58,AMD: Vosper Gap- British Shipbuilders-Utilisation of Provisions - Purchase of Goods & Services - Other,SK9 5ER,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Criminal Law and Prosecution Work,Legal Services - Legal Services,18 RED LION COURT,52397,308.40,Prosecution Counsel's Fees-Criminal Law and Prosecution Work,EC4A 3EB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Criminal Law and Prosecution Work,Legal Services - Legal Services,NEW PARK COURT CHAMBERS,52399,432.00,Prosecution Counsel's Fees-Criminal Law and Prosecution Work,NE1 3DQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,BRITISH TELECOMMUNICATIONS plc (BT),52400,30.62,F&C Devolved Admin-Central Telecommunications Services,DH98 1BT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Criminal Law and Prosecution Work,Legal Services - Legal Services,GARETH BURROWS,52401,420.12,Prosecution Counsel's Fees-Criminal Law and Prosecution Work,SW1H 0ET,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,BRITISH TELECOMMUNICATIONS plc (BT),52402,-4927.59,F&C Devolved Admin-Central Telecommunications Services,DH98 1BT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,BRITISH TELECOMMUNICATIONS plc (BT),52402,5041.35,F&C Devolved Admin-Central Telecommunications Services,DH98 1BT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Criminal Law and Prosecution Work,Legal Services - Legal Services,CORNWALL STREET CHAMBERS,52403,360.00,Prosecution Counsel's Fees-Criminal Law and Prosecution Work,B3 3BY,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,DAISY COMMUNICATIONS LTD,52404,70.78,F&C Devolved Admin-Central Telecommunications Services,BB9 5SR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Criminal Law and Prosecution Work,Legal Services - Legal Services,CORNWALL STREET CHAMBERS,52405,120.00,Prosecution Counsel's Fees-Criminal Law and Prosecution Work,B3 3BY,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,DAISY COMMUNICATIONS LTD,52407,70.78,F&C Devolved Admin-Central Telecommunications Services,BB9 5SR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,DAISY COMMUNICATIONS LTD,52408,663.22,F&C Devolved Admin-Central Telecommunications Services,BB9 5SR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,DAISY COMMUNICATIONS LTD,52409,31.19,F&C Devolved Admin-Central Telecommunications Services,BB9 5SR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,DAISY COMMUNICATIONS LTD,52410,400.73,F&C Devolved Admin-Central Telecommunications Services,BB9 5SR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,BRITISH TELECOMMUNICATIONS plc (BT),52414,862.69,F&C Devolved Admin-Central Telecommunications Services,DH98 1BT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,BRITISH TELECOMMUNICATIONS plc (BT),52428,192.00,F&C Devolved Admin-Central Telecommunications Services,DH98 1BT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Criminal Law and Prosecution Work,Legal Services - Legal Services,FABER & CO,52430,2.00,Prosecution Agents-Criminal Law and Prosecution Work,B4 6RG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Criminal Law and Prosecution Work,Legal Services - Legal Services,FABER & CO,52430,711.60,Prosecution Agents-Criminal Law and Prosecution Work,B4 6RG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,BRITISH TELECOMMUNICATIONS plc (BT),52432,113.76,F&C Devolved Admin-Central Telecommunications Services,DH98 1BT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,BRITISH TELECOMMUNICATIONS plc (BT),52434,117.25,F&C Devolved Admin-Central Telecommunications Services,DH98 1BT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,BRITISH TELECOMMUNICATIONS plc (BT),52440,762.44,F&C Devolved Admin-Central Telecommunications Services,DH98 1BT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,BRITISH TELECOMMUNICATIONS plc (BT),52443,192.00,F&C Devolved Admin-Central Telecommunications Services,DH98 1BT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,BRITISH TELECOMMUNICATIONS plc (BT),52446,114.04,F&C Devolved Admin-Central Telecommunications Services,DH98 1BT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,BRITISH TELECOMMUNICATIONS plc (BT),52456,288.52,F&C Devolved Admin-Central Telecommunications Services,DH98 1BT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Stationery,Legal Services - Legal Services,OFFICE DEPOT INTERNATIONAL (UK) LTD T/A VIKING DIRECT,52493,86.02,Legal Services Admin-Stationery,LE41 9GS,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Learning and Dev - CS Skills,Business & Local Growth - Digital Economy Unit,CAPITA BUSINESS SERVICES LTD,52498,83.00,BLG Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/07/2014,Publications,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,THE STATIONERY OFFICE LTD,52506,130.00,MPST Devolved Admin-Publications,NR3 1QZ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/07/2014,Publications,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,THE STATIONERY OFFICE LTD,52506,165.00,MPST Devolved Admin-Publications,NR3 1QZ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Consultancy Expenditure,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,52509,25.00,F&C Devolved Admin-Consultancy Expenditure,RG14 1LA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Consultancy Expenditure,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,52509,2033.23,F&C Devolved Admin-Consultancy Expenditure,RG14 1LA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Telecoms,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,52509,338.87,E&M Devolved Admin-Telecoms,RG14 1LA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Advertising,People & Strategy - Communications Directorate,TNS UK LTD,52510,42950.00,Corporate Presentation-Advertising,W5 1UA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Hire of Agency Staff,People & Strategy - Communications Directorate,BROOK STREET (UK) LTD,52511,905.10,P&S Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Clearing Account   - Cost - Information Technology,Enterprise & Skills Group - Better Regulation Delivery Office,BROOK STREET (UK) LTD,52515,-1162.17,BRDO: PA System Support-Clearing Account   - Cost - Information Technology,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Clearing Account   - Cost - Information Technology,Enterprise & Skills Group - Better Regulation Delivery Office,BROOK STREET (UK) LTD,52515,2556.77,BRDO: PA System Support-Clearing Account   - Cost - Information Technology,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Professional Subscriptions,People & Strategy - Human Resources,"Personal Expense, Name Witheld",52525,190.00,P&S Devolved Admin-Professional Subscriptions,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Finance Training,Finance & Commercial Group - Finance Group,KAPLAN FINANCIAL LTD,52528,100.00,F&C Devolved Admin-Finance Training,NE1 3PA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Finance Training,Finance & Commercial Group - Finance Group,KAPLAN FINANCIAL LTD,52528,8433.51,F&C Devolved Admin-Finance Training,NE1 3PA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Finance Training,Finance & Commercial Group - Finance Group,KAPLAN FINANCIAL LTD,52531,-2538.74,F&C Devolved Admin-Finance Training,NE1 3PA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Finance Training,Finance & Commercial Group - Finance Group,KAPLAN FINANCIAL LTD,52531,50.00,F&C Devolved Admin-Finance Training,NE1 3PA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Finance Training,Finance & Commercial Group - Finance Group,KAPLAN FINANCIAL LTD,52531,5027.48,F&C Devolved Admin-Finance Training,NE1 3PA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,QUESTMARK LTD,52534,289.92,F&C Devolved Admin-Central Telecommunications Services,NG10 4LS,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/07/2014,Finance Training,Finance & Commercial Group - Finance Group,KAPLAN FINANCIAL LTD,52535,4579.35,F&C Devolved Admin-Finance Training,NE1 3PA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,QUESTMARK LTD,52536,5010.00,F&C Devolved Admin-Central Telecommunications Services,NG10 4LS,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Research and Development Expenditure,Enterprise & Skills Group - Vocational Education Directorate,MARKET & OPINION RESEARCH INTERNATIONAL LTD T/A IPSOS MORI,52555,5927.00,Research And Analytical Services-Research and Development Expenditure,SE1 1FY,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,PR & Marketing Advice & Services,Shareholder Executive - ED SME Finance Policy,FINANCIAL MARKETING LTD,52557,1500.00,Central Functions-PR & Marketing Advice & Services,KT20 7RZ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Procurement & Commercial Service,Finance & Commercial Group - Information and Technology Directorate,SWISS POST SOLUTIONS LTD,52562,4510.00,F&C Devolved Admin-Procurement & Commercial Service,TW10 6TP,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Professional Subscriptions,Finance & Commercial Group - Information and Technology Directorate,CHARTERED INSTITUTE OF PERSONNEL AND DEVELOPMENT CIPD,52565,235.00,F&C Devolved Admin-Professional Subscriptions,SW19 1JQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Stationery,Legal Services - Legal Services,OFFICE DEPOT INTERNATIONAL (UK) LTD T/A VIKING DIRECT,52566,296.84,Legal Services Admin-Stationery,LE41 9GS,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Secure Documents Unit,Finance & Commercial Group - Information and Technology Directorate,COPIERTEC LTD,52571,53.14,SCOPE Intellegence-Secure Documents Unit,TW13 7EQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/07/2014,Computer Consumables,People & Strategy - Communications Directorate,BANG COMMUNICATIONS LTD,52574,445.43,P&S Devolved Admin-Computer Consumables,RG25 2JL,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/07/2014,Computer Consumables,People & Strategy - Communications Directorate,BANG COMMUNICATIONS LTD,52574,8374.57,Foresight: Demography and Ageing-Computer Consumables,RG25 2JL,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Clearing Account   - Cost - Information Technology,Enterprise & Skills Group - Better Regulation Delivery Office,SCISYS (UK) LTD,52578,-30000.00,BRDO: PA System Support-Clearing Account   - Cost - Information Technology,SN14 0GB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Clearing Account   - Cost - Information Technology,Enterprise & Skills Group - Better Regulation Delivery Office,SCISYS (UK) LTD,52578,60000.00,BRDO: PA System Support-Clearing Account   - Cost - Information Technology,SN14 0GB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,ICT Infrastructure Specific Service,Finance & Commercial Group - Modernisation Fund and Shared Services,FCO SERVICES,52579,183202.60,F&C Devolved Admin-ICT Infrastructure Specific Service,MK19 7BH,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Subsistence UK,People & Strategy - Communications Directorate,"Personal Expense, Name Witheld",52580,5.00,P&S Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Subsistence UK,People & Strategy - Communications Directorate,"Personal Expense, Name Witheld",52580,15.00,P&S Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Taxi Services UK,People & Strategy - Communications Directorate,"Personal Expense, Name Witheld",52581,6.40,P&S Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Other Travel,Enterprise & Skills Group - Vocational Education Directorate,"Personal Expense, Name Witheld",52582,3.14,E&S Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Mileage Allowance UK,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",52583,53.10,ECO - Non Proliferation Awareness Seminars-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Taxi Services UK,Business & Local Growth - Digital Economy Unit,"Personal Expense, Name Witheld",52584,8.50,BLG Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Taxi Services UK,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,"Personal Expense, Name Witheld",52585,14.00,K&I Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Other Travel,People & Strategy - Human Resources,"Personal Expense, Name Witheld",52586,1.65,P&S Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Other Travel,People & Strategy - Human Resources,"Personal Expense, Name Witheld",52586,2.30,P&S Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Other Travel,People & Strategy - Human Resources,"Personal Expense, Name Witheld",52586,20.60,P&S Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Rail Travel UK,People & Strategy - Human Resources,"Personal Expense, Name Witheld",52586,24.70,P&S Devolved Admin-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Subsistence UK,People & Strategy - Human Resources,"Personal Expense, Name Witheld",52586,5.00,P&S Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Subsistence UK,People & Strategy - Human Resources,"Personal Expense, Name Witheld",52586,6.10,P&S Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Taxi Services UK,People & Strategy - Human Resources,"Personal Expense, Name Witheld",52586,7.00,P&S Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Other Travel,People & Strategy - Human Resources,"Personal Expense, Name Witheld",52587,1.65,P&S Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Other Travel,People & Strategy - Human Resources,"Personal Expense, Name Witheld",52587,5.60,P&S Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Other Travel,People & Strategy - Human Resources,"Personal Expense, Name Witheld",52588,3.05,P&S Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Other Travel,People & Strategy - Human Resources,"Personal Expense, Name Witheld",52588,4.95,P&S Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Subsistence Overseas,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",52589,6.18,E&M Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Subsistence Overseas,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",52589,9.40,E&M Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Subsistence Overseas,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",52589,10.00,E&M Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Subsistence Overseas,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",52589,29.60,E&M Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Rail Travel UK,Enterprise & Skills Group - Vocational Education Directorate,"Personal Expense, Name Witheld",52590,5.20,E&S Devolved Admin-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Taxi Services UK,Enterprise & Skills Group - Vocational Education Directorate,"Personal Expense, Name Witheld",52590,11.80,E&S Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Other Travel,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",52591,12.06,ECO - Non Proliferation Awareness Seminars-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Other Travel,Economics & Markets - Labour Market,"Personal Expense, Name Witheld",52592,3.60,E&M Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Other Travel,Economics & Markets - Labour Market,"Personal Expense, Name Witheld",52592,3.85,E&M Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Subsistence UK,Economics & Markets - Labour Market,"Personal Expense, Name Witheld",52592,15.00,E&M Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Rail Travel UK,Shareholder Executive - Business Portfolio,"Personal Expense, Name Witheld",52593,29.00,ShEx Devolved Admin-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Other Travel,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",52594,4.73,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Other Travel,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",52594,9.00,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Rail Travel UK,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",52594,3.60,BLG Devolved Admin-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Subsistence UK,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",52594,3.18,BLG Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Subsistence UK,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",52594,8.70,BLG Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Taxi Services UK,Business & Local Growth - Advanced Manufacturing Services,"Personal Expense, Name Witheld",52595,64.20,BLG Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Subsistence UK,People & Strategy - Communications Directorate,"Personal Expense, Name Witheld",52596,4.29,P&S Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Taxi Services UK,People & Strategy - Communications Directorate,"Personal Expense, Name Witheld",52596,11.00,P&S Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Mileage Allowance UK,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",52597,306.90,BLG Devolved Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Other Travel,Enterprise & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld",52598,8.90,E&S Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Taxi Services UK,People & Strategy - Communications Directorate,"Personal Expense, Name Witheld",52599,12.50,P&S Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Rail Travel UK,Shareholder Executive - Corporate Finance Practice,"Personal Expense, Name Witheld",52601,13.50,ShEx Devolved Admin-Rail Travel UK,,EMPLOYEE,,,
